YEAR	POP	AGE	BA	STI_NB	STI_BA	ASSYM	CANOPY_RATIO	UNDER_NB	OVER_NB	UNDER_BA	OVER_BA	UNDER_AGE	OVER_AGE	WATER_CONSUMED	WATER_NEEDED	WATER_CONSUMED_A	WATER_CONSUMED_B	WATER_CONSUMED_C	WATER_CONSUMED_D	WATER_CONSUMED_E	WATER_NEEDED_A	WATER_NEEDED_B	WATER_NEEDED_C	WATER_NEEDED_D	WATER_NEEDED_E	WATER_CONSUMED_INTOLERANT	WATER_NEEDED_INTOLERANT	WATER_CONSUMED_TOLERANT	WATER_NEEDED_TOLERANT	POP_A	POP_B	POP_C	POP_D	POP_E	POP_TOLERANT	POP_INTOLERANT
49	151	34.72847682	617.9782954	0.3841059603	0.1775447846	0.614059469	1	96	193	23.06599771	627.7463285	11.95833333	30.67357513	0.7207336426	0.4029917008	0.006055747806	0.02984397945	0.0451663556	0.07597579173	0.563691768	0.004651375346	0.01893746774	0.02956779576	0.04084499352	0.3089900684	0.5709331448	0.3182490243	0.1498004977	0.08474267646	70	82	38	26	26	73	165	124
50	151	35.24503311	624.2295907	0.3973509934	0.1784302517	0.6090965041	1	89	192	21.90753997	633.8887465	12.40449438	31.33854167	0.7259750366	0.4063417377	0.006261518267	0.02896402953	0.04325484263	0.0645632046	0.5829314416	0.004643686683	0.01836042534	0.02810950262	0.0351696486	0.3200584744	0.5740376017	0.3203142217	0.1519374349	0.08602751593	69	78	36	23	23	75	166	115
51	154	36	641.3173801	0.4025974026	0.1773821341	0.6116468247	1	99	191	23.37057069	649.6886778	12.12121212	32.40837696	0.7371139526	0.4173452548	0.006639250811	0.02873375137	0.04341303839	0.05855349308	0.599774419	0.005023591079	0.01864975095	0.02805543063	0.03335936773	0.3322571144	0.5840878732	0.3295768264	0.1530260795	0.08776842834	75	80	36	22	22	77	170	120
52	150	37.16	653.7304032	0.3933333333	0.1732655843	0.5977946326	1	105	189	27.28634834	662.558899	13.17142857	33.14285714	0.7491111755	0.4280410512	0.007112022047	0.02959085109	0.04382141414	0.05922397609	0.6093629122	0.005191348133	0.01934815591	0.02859928888	0.03419467677	0.3407075815	0.5942921192	0.3384521556	0.1548190564	0.08958889561	77	82	36	22	22	77	174	120
53	149	38.10067114	660.3177219	0.3959731544	0.1742253056	0.5876871852	1	109	186	28.08955939	669.3597363	13.53211009	34.06989247	0.7554779053	0.432975247	0.00677472997	0.03114133047	0.0422903448	0.06203465293	0.6132368471	0.005067005919	0.0202325879	0.02802468317	0.03611959343	0.3435313766	0.5995664431	0.3416576763	0.1559114622	0.09131757072	76	85	35	23	23	76	177	118
54	150	38.94666667	675.4019716	0.4	0.1725410715	0.5938355093	1	114	182	29.09725734	683.3817674	13.68421053	35.21978022	0.765712738	0.4425824673	0.007081444415	0.02866497757	0.04293788222	0.05749011341	0.6295383204	0.005046216094	0.01937474975	0.02819266458	0.03413143091	0.3558374059	0.6089443482	0.3499729322	0.1567683898	0.09260953512	76	84	36	22	22	78	176	120
55	143	40.53146853	688.1012754	0.3846153846	0.1695334187	0.6021887774	1	129	172	32.98425946	695.3553612	14.59689922	36.5755814	0.7756195068	0.4526579487	0.007508520128	0.02811292849	0.04266572723	0.05085329185	0.6464790391	0.005301408619	0.01944015162	0.0276324148	0.03008033966	0.370203634	0.6184181027	0.3586108437	0.1572014041	0.09404710497	80	85	35	20	20	81	179	122
56	150	41.03333333	703.0628005	0.4133333333	0.1748621822	0.5935271372	1	121	181	28.76725002	709.8956431	13.82644628	37.02762431	0.7799873352	0.459239591	0.007556826183	0.02748646284	0.04122276569	0.05042291132	0.6532983692	0.005550070329	0.01931523918	0.02706478332	0.02986997379	0.3774395244	0.6210948245	0.3633355038	0.1588925107	0.09590408721	84	83	34	20	20	81	184	118
57	149	41.75838926	705.1483713	0.4093959732	0.1747179994	0.5908697704	1	115	185	27.03864679	712.5406044	13.3826087	37.18918919	0.7765808105	0.4599208582	0.007567954006	0.02819510071	0.03552486165	0.05179823734	0.6534946568	0.00551658029	0.01969075915	0.02256788976	0.03182668033	0.3803189486	0.6173372418	0.3642584338	0.1592435687	0.09566242438	83	85	29	22	22	81	183	117
58	146	42.88356164	715.4542403	0.397260274	0.1727665219	0.5933551564	1	120	180	27.12584704	722.3169832	14.025	38.46111111	0.7827682495	0.4662220442	0.006500902082	0.0295424997	0.03434012744	0.04417872779	0.6682059925	0.004915548809	0.0207544924	0.02187820624	0.02838315176	0.390290645	0.6251306258	0.3701727066	0.1576376237	0.09604933757	79	91	28	20	20	82	186	114
59	146	43.59589041	723.5046607	0.397260274	0.1721787314	0.5884758413	1	120	182	27.44205616	730.6941517	14.35833333	39.01098901	0.789604187	0.471784044	0.006820582936	0.02809259538	0.03437714193	0.04642176678	0.6738921	0.005227697548	0.02020485855	0.02164340051	0.03014033	0.3945677574	0.6294629862	0.3742697295	0.1601412008	0.09751431454	84	88	28	21	21	81	188	114
60	145	44.65517241	736.9209694	0.4	0.1697826531	0.5836787901	1	122	182	26.89548277	743.9555291	14.8442623	39.50549451	0.7943725586	0.4798375387	0.006788725852	0.0278818399	0.03310264422	0.0410487344	0.6855506142	0.005376853101	0.02025056807	0.02097132255	0.02817831951	0.4050604755	0.6373177102	0.3826772055	0.1570548484	0.09716033322	87	88	27	20	20	82	190	114
61	138	46.16666667	741.768711	0.3985507246	0.1642607989	0.5792715078	1	122	176	31.48373928	749.233869	15	40.72727273	0.8017807007	0.486118757	0.00683656946	0.02606317578	0.02849329598	0.04455940905	0.6958282504	0.005482005349	0.01903262051	0.01853062047	0.0293876767	0.413685834	0.6423979091	0.3878369675	0.1593827916	0.09828178956	85	85	25	21	21	82	188	110
62	136	47.27205882	756.8478307	0.3970588235	0.164438143	0.5917154996	1	120	177	29.64932891	764.7422445	15.79166667	40.98305085	0.8079376221	0.4947743699	0.006854703045	0.02419463933	0.02858647543	0.04497700621	0.7033247981	0.005727673217	0.01798336625	0.01873926718	0.02996697753	0.4223570857	0.6489625666	0.395487104	0.1589750555	0.09928726592	88	81	25	21	21	82	188	109
63	133	48.32330827	761.8294232	0.3909774436	0.1597072954	0.5907353316	1	116	180	28.11086365	770.4998292	15.80172414	41.02222222	0.8106269836	0.4974724607	0.007637739541	0.02375465663	0.02760354558	0.04525293365	0.7063781082	0.006247731447	0.01753277609	0.01849339086	0.03054004983	0.4246585125	0.6559294851	0.4004622207	0.1546974986	0.09701024002	93	78	24	21	21	80	187	109
